Year,Player,Team,Position,GP,TOI,TOI/GP,CF/60,CA/60,CF%,FF/60,FA/60,FF%,SF/60,SA/60,SF%,GF/60,GA/60,GF%,xGF/60,xGA/60,xGF%,SCF/60,SCA/60,SCF%,HDCF/60,HDCA/60,HDCF%,HDGF/60,HDGA/60,HDGF%,MDCF/60,MDCA/60,MDCF%,MDGF/60,MDGA/60,MDGF%,LDCF/60,LDCA/60,LDCF%,LDGF/60,LDGA/60,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts/60,Neu. Zone Starts/60,Def. Zone Starts/60,On The Fly Starts/60,Off. Zone Start %,Off. Zone Faceoffs/60,Neu. Zone Faceoffs/60,Def. Zone Faceoffs/60,Off. Zone Faceoff %
2010,Alex Goligoski,"DAL, PIT",D,83,1845.55,22.235542168675,65.83,48.15,57.76,48.54,36.28,57.22,34.53,26.01,57.04,3.67,2.28,61.75,3.25,2.38,57.67,29,21.78,57.11,12.29,9.17,57.27,2.08,1.07,65.98,22.28,16.82,56.98,1.26,0.95,56.86,45.5,31.7,58.94,0.8,0.52,60.71,10.64,91.25,1.019,11.74,10.44,5.72,36.96,67.23,23.99,17.98,13.33,64.29
2010,Alex Kovalev,"OTT, PIT",R,74,1222.0166666667,16.513738738739,62.85,48.56,56.41,45.37,37.86,54.51,32.41,27.54,54.05,2.5,2.01,55.43,2.94,2.26,56.51,28.13,21.51,56.68,10.8,9.43,53.40,1.28,1.13,53.06,23.11,16.1,58.93,0.98,0.85,53.57,43.26,33.4,56.43,0.64,0.35,64.29,7.73,92.69,1.004,11.29,12.47,5.06,36.33,69.07,20.23,18.61,11.98,62.80
2010,Alex Ovechkin,WSH,L,79,1679.0666666667,21.254008438819,76.79,46.49,62.29,56.67,34.98,61.83,40.59,24.3,62.56,3.93,1.75,69.18,4.41,2,68.78,37.49,21.91,63.12,14.29,8.43,62.89,1.89,0.93,67.09,30.92,17.96,63.26,1.38,0.62,69.05,49.91,30.04,62.43,1.39,0.52,72.97,9.68,92.79,1.025,9.61,11.29,4.36,35.38,68.80,23.76,18.97,11.58,67.24
2010,Alex Pietrangelo,STL,D,79,1738.0833333333,22.001054852321,61,46.91,56.53,44.88,34.28,56.69,31.41,24.16,56.52,3.49,2.55,57.71,2.85,2.39,54.40,28.27,22.78,55.38,10.53,9.04,53.79,1.76,1.38,56.04,23.66,18.32,56.36,1.1,0.74,60.00,39.59,29.97,56.92,1.25,0.85,59.52,11.10,89.43,1.005,11.39,13.01,9.53,42.77,54.46,21.89,18.74,15.98,57.79
2010,Alex Plante,EDM,D,3,45.15,15.05,61.13,55.81,52.27,43.85,45.18,49.25,34.55,30.56,53.06,1.33,5.32,20.00,1.65,2.88,36.46,19.93,30.56,39.47,2.66,14.62,15.38,1.33,5.32,20.00,23.03,21.26,52.00,0,0,-,49.91,30.71,61.90,0,0,-,3.85,82.61,0.865,10.63,18.6,10.63,50.5,50.00,14.62,26.58,23.92,37.93
2010,Alex Tanguay,CGY,L,79,1561.1666666667,19.761603375527,59.57,50.65,54.04,44.66,37.28,54.50,31.86,26.25,54.83,3.84,3.07,55.56,3.07,2.16,58.73,26.33,20.95,55.69,10.34,8.15,55.93,1.61,1.46,52.50,21.32,17.06,55.54,1.64,0.87,65.31,41.86,36.75,53.25,1.44,1,59.09,12.06,88.29,1.003,12.8,13.11,8.07,35.24,61.33,25.48,21.87,15.76,61.79
2010,Alexander Burmistrov,ATL,C,74,978.06666666667,13.217117117117,46.25,58.22,44.27,34.72,41.84,45.35,25.21,31.53,44.43,1.72,3.07,35.90,1.84,2.88,39.06,18.65,28.77,39.33,7.18,12.09,37.26,1.1,1.9,36.73,15.3,22.25,40.74,0.49,0.82,37.50,32.34,35.8,47.46,0.35,0.62,36.36,6.81,90.27,0.971,9.02,13.5,7.42,50.73,54.85,16.32,19.39,14.05,53.74
2010,Alexander Edler,VAN,D,51,1238.85,24.291176470588,68.19,52.31,56.59,51.73,39.81,56.51,35.89,29.2,55.13,3.92,2.32,62.79,3.29,2.59,55.99,30.37,25.96,53.91,13.37,10.07,57.02,2.03,0.92,68.85,22.67,21.18,51.69,0.97,1.42,40.54,47.01,33.3,58.54,1.68,0.49,77.42,10.93,92.04,1.030,15.3,11.58,9.54,32.5,61.60,29.2,17.68,17.53,62.49
2010,Alexander Semin,WSH,R,65,1167.6,17.963076923077,72.61,46.92,60.75,52.67,34.48,60.44,36.02,24.61,59.41,3.8,1.7,69.16,3.64,2.05,63.97,34.69,23.07,60.05,11.97,7.91,60.21,1.64,1.08,60.38,30.28,20.21,59.97,1.92,0.48,80.00,47.43,29.69,61.50,0.96,0.37,72.22,10.56,93.11,1.037,12.23,10.48,5.4,40.34,69.39,24.31,17.78,12.28,66.43
2010,Alexander Steen,STL,L,72,1407.7,19.551388888889,66.58,42.67,60.94,49.44,31.41,61.15,33.89,22.63,59.95,2.94,2.39,55.20,3.2,2.39,57.26,30.09,21.95,57.82,10.95,9.21,54.33,1.41,1.53,47.83,25.52,16.99,60.03,1.08,0.4,73.08,44.76,24.44,64.68,1.05,0.8,56.67,8.68,89.45,0.981,13.04,12.74,6.82,42.92,65.67,24.29,19.22,13.68,63.97
2010,Alexander Sulzer,"FLA, NSH",D,40,701.93333333333,17.548333333333,52.31,52.31,50.00,38.55,40,49.08,25.9,29.4,46.83,1.54,2.39,39.13,2.28,2.49,47.77,23.08,25.56,47.45,8.89,10.26,46.43,1.11,1.71,39.39,18.92,20.4,48.12,0.23,0.46,33.33,35.93,33.58,51.69,0.37,0.49,42.86,5.94,91.86,0.978,8.21,11.71,6.84,47.53,54.55,16.5,19.32,15.13,52.16
2010,Alexander Urbom,N.J,D,8,100.63333333333,12.579166666667,48.29,42.93,52.94,36.97,30.41,54.87,27.43,20.87,56.79,0.6,1.79,25.00,1.89,1.38,57.79,20.87,22.66,47.95,7.75,6.56,54.17,0.6,0.6,50.00,17.49,21.46,44.90,0,1.59,0.00,35.31,26.7,56.94,0,0,-,2.17,91.43,0.936,6.56,8.94,4.17,56.05,61.11,13.12,14.91,10.73,55.00
