Year,Player,Team,Position,GP,TOI,TOI/GP,Goals/60,Total Assists/60,First Assists/60,Second Assists/60,Total Points/60,IPP,Shots/60,SH%,ixG/60,iCF/60,iFF/60,iSCF/60,iHDCF/60,Rush Attempts/60,Rebounds Created/60,PIM/60,Total Penalties/60,Minor/60,Major/60,Misconduct/60,Penalties Drawn/60,Giveaways/60,Takeaways/60,Hits/60,Hits Taken/60,Shots Blocked/60,Faceoffs Won/60,Faceoffs Lost/60,Faceoffs %
2023,Charlie McAvoy,BOS,D,70,1743.7666666667,24.910952380952,0.38,1.17,0.55,0.62,1.55,43.27,4.34,8.73,0.29,9.36,6.43,3.65,0.69,0.21,0.86,2.55,1.03,0.93,0.07,0.03,1.03,1.89,0.96,4.71,5.44,5.06,0,0,-
2023,Chris Kreider,NYR,L,77,1452.3166666667,18.861255411255,1.53,1.32,0.83,0.5,2.85,55.65,9.67,15.81,1.52,17.06,14.58,11.73,7.89,0.74,1.45,1.07,0.54,0.54,0,0,0.45,1.12,0.91,3.22,1.4,0.83,1.45,2.52,1.51
2023,Chris Tanev,"CGY, DAL",D,70,1372.5166666667,19.607380952381,0.09,0.66,0.26,0.39,0.74,25.37,2.23,3.92,0.05,4.68,3.06,0.87,0.09,0,0.22,1.05,0.52,0.52,0,0,0.26,1.62,1.01,1.36,5.95,8.61,0,0,-
2023,Chris Tierney,N.J,C,47,423.33333333333,9.0070921985816,0.43,1.13,0.43,0.71,1.56,61.11,3.26,13.04,0.36,5.39,4.11,3.26,1.56,0.14,0.57,2.41,0.43,0.14,0.14,0.14,0.43,0.99,1.98,2.13,2.69,1.42,13.04,9.92,8.05
2023,Chris Wagner,COL,R,11,84.233333333333,7.6575757575758,0.71,0.71,0.71,0,1.42,50.00,8.55,8.33,0.59,12.82,10.68,2.85,2.14,0,1.42,4.99,1.42,0.71,0.71,0,0.71,1.42,0.71,19.23,7.12,3.56,22.08,15.67,41.66
2023,Christian Dvorak,MTL,C,25,398.51666666667,15.940666666667,0.45,0.6,0.45,0.15,1.05,63.64,4.82,9.38,0.6,8.58,6.17,4.37,2.11,0,0.75,0.6,0.3,0.3,0,0,0.15,1.81,1.36,1.2,2.56,2.26,25.44,17.01,9.02
2023,Christian Fischer,DET,R,74,838.16666666667,11.326576576577,0.36,1,0.57,0.43,1.36,55.88,5.58,6.41,0.61,8.88,7.44,5.23,2.86,0.36,1.43,2.43,1,0.86,0.14,0,1.22,1.43,0.79,7.16,3.15,2.15,6.3,9.02,2.94
2023,Claude Giroux,OTT,R,76,1519.9666666667,19.999561403509,0.83,1.62,1.03,0.59,2.45,71.26,6.83,12.14,0.7,12.71,9.08,6.39,3.04,0.71,1.3,0.95,0.47,0.47,0,0,0.95,1.62,2.05,1.18,1.97,1.03,24.47,17.65,2.29
2023,Clayton Keller,ARI,R,72,1378.6666666667,19.148148148148,1.39,1.7,1.09,0.61,3.09,81.61,9.05,15.38,0.92,17.15,13.23,8.23,2.48,0.48,1.48,1.22,0.61,0.61,0,0,1.13,1.83,1.74,0.78,4.13,1.26,1.31,1.48,2.04
2023,Cody Ceci,EDM,D,75,1498.5833333333,19.981111111111,0.12,0.8,0.28,0.52,0.92,35.94,3.72,3.23,0.18,7.77,5,2.24,0.44,0.12,0.8,0.56,0.28,0.28,0,0,0.12,0.76,0.96,3,6.33,4.2,0,0,-
2023,Cody Glass,NSH,C,39,524.41666666667,13.446581196581,0.57,0.8,0.46,0.34,1.37,57.14,8.92,6.41,1.06,14.42,11.33,8.58,4.69,0.46,1.37,2.29,1.14,1.14,0,0,1.03,1.72,1.49,2.63,4.23,2.17,10.53,12.93,5.13
2023,Cole Caufield,MTL,R,76,1477.6666666667,19.44298245614,0.93,1.42,0.89,0.53,2.36,59.18,11.73,7.96,1.19,21.24,16.44,9.95,3.13,0.32,1.83,0.65,0.32,0.32,0,0,0.81,1.58,1.22,1.95,2.76,0.81,0.28,0.28,2.03
2023,Cole Guttman,CHI,C,27,340.73333333333,12.61975308642,0.7,0.7,0.18,0.53,1.41,88.89,8.8,8.00,0.77,14.97,11.62,8.63,3.17,0.53,1.23,1.23,0.35,0.18,0.18,0,1.23,1.76,2.47,1.76,1.76,2.47,10.57,10.57,8.80
2023,Cole Koepke,T.B,L,9,60.316666666667,6.7018518518519,0,1.99,0.99,0.99,1.99,66.67,8.95,0.00,1.15,14.92,12.93,5.97,3.98,0,0.99,0,0,0,0,0,0.99,0.99,1.99,16.91,6.96,0.99,0,0,-
2023,Cole McWard,VAN,D,1,9.0833333333333,9.0833333333333,0,0,0,0,0,-,6.61,0.00,0.91,26.42,6.61,0,0,6.61,0,0,0,0,0,0,0,0,0,0,6.61,0,0,0,-
2023,Cole Perfetti,WPG,C,69,938.11666666667,13.595893719807,1.09,1.22,1.02,0.19,2.3,62.07,8.89,12.23,0.95,14.45,11.64,8.31,4.6,0.45,1.66,0.77,0.38,0.38,0,0,0.19,0.64,1.09,1.47,3.77,1.41,2.43,4.03,2.41
2023,Cole Schwindt,CGY,R,4,27.166666666667,6.7916666666667,0,0,0,0,0,-,2.21,0.00,0.49,6.63,6.63,4.42,4.42,0,0,4.42,2.21,2.21,0,0,0,2.21,0,11.04,8.83,2.21,13.25,4.42,165.64
2023,Cole Sillinger,CBJ,C,72,1147.2666666667,15.934259259259,0.68,0.89,0.52,0.37,1.57,60.00,7.22,9.42,0.88,13.34,10.36,8.16,3.61,0.47,1.2,2.3,0.99,0.89,0.1,0,0.58,0.94,1.36,5.07,3.71,3.4,21.44,24.48,2.44
2023,Cole Smith,NSH,L,76,1038.2833333333,13.661622807018,0.52,0.81,0.4,0.4,1.33,57.50,6.01,8.65,0.8,10.46,8.15,7.17,4.1,0.58,0.98,3.64,1.16,0.81,0.29,0.06,1.16,1.5,1.96,11.67,7.05,1.79,0.29,0.64,1.81
