Year,Player,Team,Position,GP,TOI,TOI/GP,Goals/60,Total Assists/60,First Assists/60,Second Assists/60,Total Points/60,IPP,Shots/60,SH%,ixG/60,iCF/60,iFF/60,iSCF/60,iHDCF/60,Rush Attempts/60,Rebounds Created/60,PIM/60,Total Penalties/60,Minor/60,Major/60,Misconduct/60,Penalties Drawn/60,Giveaways/60,Takeaways/60,Hits/60,Hits Taken/60,Shots Blocked/60,Faceoffs Won/60,Faceoffs Lost/60,Faceoffs %
2011,Theo Peckham,EDM,D,54,911.3,16.875925925926,0.07,0.13,0.07,0.07,0.2,9.38,1.65,4.00,0.07,4.15,2.57,0.99,0.26,0.26,0.26,5.27,1.91,1.65,0.13,0.13,1.12,1.78,1.19,6.19,4.87,4.74,0,0,-
2011,Thomas Vanek,BUF,L,78,1320.9333333333,16.935042735043,1.18,1.59,1,0.59,2.77,70.11,9.27,12.75,1.03,14.94,11.81,8.81,5.04,0.45,1.04,2.36,1.18,1.18,0,0,0.64,1.95,1.09,1.54,2.82,1,0.14,0.14,2.27
2011,Tim Brent,CAR,C,79,860.25,10.889240506329,0.84,0.84,0.42,0.42,1.67,58.54,4.95,16.90,0.5,8.37,6.7,4.18,1.95,0.21,0.28,1.88,0.84,0.77,0.07,0,0.49,0.91,1.33,4.46,2.93,2.3,19.39,20.44,3.40
2011,Tim Connolly,TOR,C,70,1190.3,17.004285714286,0.66,1.16,0.66,0.5,1.81,70.59,5.24,12.50,0.55,10.18,7.81,5.44,2.37,0.45,0.2,1.81,0.91,0.91,0,0,0.76,2.07,1.61,1.46,2.72,3.83,19.31,20.31,2.46
2011,Tim Erixon,NYR,D,18,233.95,12.997222222222,0,0.51,0.26,0.26,0.51,25.00,2.31,0.00,0.19,4.62,3.59,1.54,0.77,0.26,0,2.05,1.03,1.03,0,0,0.51,0.77,0.26,3.85,8.72,3.85,0,0,-
2011,Tim Gleason,CAR,D,82,1698.2166666667,20.709959349593,0.04,0.6,0.39,0.21,0.64,26.09,2.3,1.54,0.09,5.16,3.43,0.88,0.18,0.07,0.53,2.51,0.85,0.64,0.18,0.04,0.78,1.13,0.64,4.56,1.52,3.96,0,0,-
2011,Tim Jackman,CGY,R,75,683.91666666667,9.1188888888889,0.09,0.53,0.26,0.26,0.61,77.78,9.04,0.97,0.88,17.11,12.9,10.26,4.12,1.4,1.05,8.25,2.28,1.05,1.23,0,2.37,0.61,1.58,14.04,6.32,1.4,1.32,1.67,3.87
2011,Tim Kennedy,FLA,L,27,300.6,11.133333333333,0.2,0.2,0.2,0,0.4,100.00,4.39,4.55,0.36,5.39,4.99,4.19,2.79,0,0,0.8,0.4,0.4,0,0,1.4,1.4,1.8,9.58,6.79,2.2,12.77,15.37,9.06
2011,Tim Sestito,N.J,L,18,148.53333333333,8.2518518518519,0,0,0,0,0,0.00,2.42,0.00,0.29,6.06,4.04,2.42,1.21,0,0,2.83,0.81,0.4,0.4,0,1.62,1.21,0.4,11.31,6.87,2.02,12.52,17.77,16.70
2011,Tim Stapleton,WPG,C,63,639.21666666667,10.146296296296,1.03,1.5,0.84,0.66,2.53,67.50,6.95,14.86,0.64,10.89,9.1,6.2,2.63,0.38,0.28,0.94,0.47,0.47,0,0,0.38,0.56,1.97,2.53,3.38,2.16,9.1,11.17,4.22
2011,Tim Wallace,"NYI, T.B",R,49,421.18333333333,8.5955782312925,0.43,0.85,0.57,0.28,1.28,81.82,3.7,11.54,0.28,6.84,4.56,4.13,0.85,0.43,0.28,2.28,1.14,1.14,0,0,1.14,1.28,1.99,14.82,8.12,1.57,1.14,1.71,5.70
