Year,Player,Team,Position,GP,TOI,TOI/GP,CF/60,CA/60,CF%,FF/60,FA/60,FF%,SF/60,SA/60,SF%,GF/60,GA/60,GF%,xGF/60,xGA/60,xGF%,SCF/60,SCA/60,SCF%,HDCF/60,HDCA/60,HDCF%,HDGF/60,HDGA/60,HDGF%,MDCF/60,MDCA/60,MDCF%,MDGF/60,MDGA/60,MDGF%,LDCF/60,LDCA/60,LDCF%,LDGF/60,LDGA/60,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts/60,Neu. Zone Starts/60,Def. Zone Starts/60,On The Fly Starts/60,Off. Zone Start %,Off. Zone Faceoffs/60,Neu. Zone Faceoffs/60,Def. Zone Faceoffs/60,Off. Zone Faceoff %
2020,Shayne Gostisbehere,PHI,D,41,817.55,19.940243902439,62.16,46.31,57.31,46.6,35.37,56.85,34.2,25.91,56.90,3.6,3.01,54.44,2.96,2.18,57.51,28.18,21.58,56.64,11.82,8.29,58.76,1.91,1.17,61.90,21.82,17.71,55.20,1.27,1.27,50.00,43.89,30.53,58.97,1.06,0.85,55.56,10.52,88.39,0.989,16.44,11.82,7.34,39.34,69.14,26.86,16.88,15.34,63.65
2020,Shea Theodore,VGK,D,53,1194.95,22.546226415094,70.04,46.75,59.97,51.87,34.95,59.75,37.41,25.46,59.50,4.32,2.11,67.19,3.62,2.41,59.99,34.95,22.34,61.00,13.61,10.04,57.54,2.16,1.1,66.15,28.45,16.4,63.43,1.61,0.74,68.57,44.39,29.16,60.36,1.31,0.58,69.23,11.54,91.72,1.033,12.7,12.1,4.87,37.71,72.29,27.52,18.28,13.16,67.65
2020,Shea Weber,MTL,D,48,1089.6,22.7,57.1,54.41,51.21,42.9,41.69,50.72,32.16,30.29,51.50,2.86,3.52,44.83,2.6,2.88,47.40,25.61,25.83,49.79,10.13,10.68,48.68,1.65,1.76,48.39,20.63,20.19,50.54,0.59,1.25,32.00,39.37,34.2,53.51,1.03,0.95,52.00,8.90,88.36,0.973,10.08,13.16,10.96,33.87,47.91,20.59,18.39,24.67,45.50
2020,Sheldon Dries,COL,C,3,23.433333333333,7.8111111111111,64.01,64.01,50.00,35.85,40.97,46.67,25.6,25.6,50.00,2.56,0,100.00,1.64,2.89,36.23,33.29,33.29,50.00,7.68,12.8,37.50,2.56,0,100.00,34.14,27.31,55.56,0,0,-,33.29,40.68,45.00,0,0,-,10.00,100.00,1.100,5.12,5.12,5.12,92.18,50.00,10.24,12.8,7.68,57.14
2020,Sheldon Rempal,CAR,R,3,24.883333333333,8.2944444444444,50.64,69.93,42.00,45.81,57.87,44.19,31.35,33.76,48.15,0,0,-,2.27,3.32,40.59,26.52,38.58,40.74,7.23,21.7,25.00,0,0,-,25.72,22.51,53.33,0,0,-,34.83,41.8,45.45,0,0,-,0.00,100.00,1.000,9.65,14.47,9.65,53.05,50.00,21.7,19.29,19.29,52.94
2020,Sidney Crosby,PIT,C,55,1121.9,20.398181818182,61.93,46.26,57.24,47.38,36.58,56.43,35.14,27.38,56.20,4.55,2.62,63.43,3.51,2.45,58.91,32.78,22.14,59.69,13.48,9.89,57.67,2.46,1.39,63.89,25.74,16.33,61.19,1.57,1,61.11,38.16,29.9,56.07,0.93,0.46,66.67,12.94,90.43,1.034,16.9,16.42,5.99,34.82,73.83,31.82,21.61,15.56,67.16
2020,Simon Benoit,ANA,D,6,103.18333333333,17.197222222222,48.85,55.24,46.93,36.05,40.12,47.33,26.75,29.07,47.92,1.16,3.49,25.00,2.08,2.29,47.58,27.33,25,52.22,7.56,7.56,50.00,0.58,1.74,25.00,26.36,23.26,53.13,0.78,1.55,33.33,26.88,36.96,42.11,0,0.84,0.00,4.35,88.00,0.923,1.74,13.96,11.63,52.92,13.04,11.63,21.52,24.42,32.26
2020,Slater Koekkoek,EDM,D,18,236.95,13.163888888889,45.07,78.75,36.40,33.68,56.21,37.46,26.08,39.25,39.92,1.27,4.3,22.73,2.24,3.72,37.57,20.76,40.51,33.88,10.89,14.18,43.43,0.51,1.77,22.22,13.17,35.11,27.27,0.34,2.36,12.50,28.89,49.74,36.74,0.73,1.1,40.00,4.85,89.03,0.939,5.82,9.88,10.89,50.9,34.85,13.17,15.7,19.24,40.63
2020,Sonny Milano,ANA,L,6,88.4,14.733333333333,67.19,40.05,62.66,50.9,26.47,65.79,34.62,16.29,68.00,1.36,0.68,66.67,2.89,1.57,64.71,29.19,20.36,58.90,12.9,8.14,61.29,0.68,0.68,50.00,21.72,16.29,57.14,0.9,0,100.00,51.96,24.51,67.95,0,0,-,3.92,95.83,0.998,13.57,11.54,13.57,40.72,50.00,21.72,15.61,24.43,47.06
2020,Stefan Matteau,CBJ,C,18,194.83333333333,10.824074074074,41.57,55.74,42.72,32.03,42.19,43.15,27.72,30.18,47.87,0.62,1.85,25.00,1.52,2.5,37.75,17.25,23.4,42.42,6.78,8.62,44.00,0.31,0.92,25.00,13.96,19.71,41.46,0.41,0.41,50.00,30.25,38.7,43.87,0,0.89,0.00,2.22,93.88,0.961,4.93,13.55,8.62,58.82,36.36,7.7,18.48,18.48,29.41
