PLAYER,TEAM,AGE,POS,HANDED,SIGNING TEAM,TYPE,SIGNING AGE,CLAUSE,LENGTH,EXPIRY,EXP. YEAR,CAP HIT,AAV,SALARY,BASE SALARY,S.BONUS,P.BONUS
Patrick Sieloff,-,22,LD,Left,CGY,Entry-Level,19,,3,RFA,2017,"$894,167","$894,167","$832,500","$832,500",$0,$0
Slater Koekkoek,-,22,LD/RD,Left,TBL,Entry-Level,19,,3,RFA,2017,"$894,167","$1,444,167","$832,500","$832,500",$0,"$600,000"
Jonathan Drouin,COL,21,"LW, RW",Left,TBL,Entry-Level,18,,3,RFA,2017,"$894,167","$3,194,167","$832,500","$832,500",$0,"$2,300,000"
Curtis Lazar,NJD,21,"RW, C",Right,OTT,Entry-Level,18,,3,RFA,2017,"$894,167","$1,254,167","$832,500","$832,500",$0,"$360,000"
Joel Eriksson Ek,MIN,19,C,Left,MIN,Entry-Level,18,,3,RFA,2019,"$894,166","$1,106,666","$925,000","$832,500","$92,500",$0
Paul Postma,-,27,RD,Right,WPG,Standard (1-way),26,,2,UFA,2017,"$887,500","$887,500","$925,000","$925,000",$0,$0
Sean Malone,-,21,C,Left,BUF,Entry-Level,21,,2,10.2(c),2018,"$883,750","$925,000","$925,000","$832,500","$92,500",$0
Joey LaLeggia,-,24,LD,Left,EDM,Entry-Level,23,,2,RFA,2017,"$883,750","$925,000","$925,000","$832,500","$92,500",$0
Dylan Sadowy,-,20,LW,Left,DET,Entry-Level,20,,3,UFANo QO,2019,"$880,833","$925,000","$792,500","$700,000","$92,500","$132,500"
Zachary Sanford,CHI,21,"LW, RW",Left,WSH,Entry-Level,21,,3,RFA,2019,"$875,000","$925,000","$875,000","$782,500","$92,500","$50,000"
Richard Pánik,-,25,"LW, RW",Left,CHI,Standard (1-way),25,,1,RFA,2017,"$875,000","$875,000","$875,000","$875,000",$0,$0
Brett Ritchie,-,23,RW,Right,DAL,Standard (1-way),22,,1,RFA,2017,"$875,000","$875,000","$875,000","$875,000",$0,$0
Jujhar Khaira,MIN,21,"LW, C",Left,EDM,Entry-Level,19,,3,RFA,2017,"$875,000","$894,167","$832,500","$832,500",$0,$0
Mitchell Moroz,-,22,LW,Left,EDM,Entry-Level,19,,3,UFANo QO,2017,"$875,000","$894,167","$832,500","$832,500",$0,$0
Adam Erne,EDM,21,"LW, RW",Left,TBL,Entry-Level,19,,3,RFA,2018,"$874,167","$894,167","$925,000","$832,500","$92,500",$0
Brandon Tanev,SEA,24,"LW, RW",Left,WPG,Standard (2-way),24,,1,RFA,2017,"$874,125","$874,125","$874,125","$874,125",$0,$0
Duncan Siemens,-,22,LD,Left,COL,Standard (2-way),22,,1,RFA,2017,"$874,125","$874,125","$874,125","$874,125",$0,$0
Tyler Gaudet,-,23,C,Left,ARI,Standard (2-way),23,,1,RFA,2017,"$874,125","$874,125","$874,125","$874,125",$0,$0
Casey Bailey,-,24,C,Right,OTT,Standard (2-way),24,,1,UFAGroup 6,2017,"$874,125","$874,125","$874,125","$874,125",$0,$0
Gustav Forsling,FLA,20,LD,Left,CHI,Entry-Level,20,,3,RFA,2019,"$872,500","$925,000","$767,500","$675,000","$92,500","$157,500"
Danton Heinen,BOS,20,"LW, RW",Left,BOS,Entry-Level,21,,3,RFA,2019,"$872,500","$995,833","$767,500","$675,000","$92,500","$157,500"
Tyler Benson,-,18,"LW, RW",Left,EDM,Entry-Level,18,,3,RFA,2021,"$870,000","$925,000",$0,"-$92,500","$92,500",$0
Devin Shore,SEA,21,"LW, C, RW",Left,DAL,Entry-Level,21,,3,RFA,2018,"$870,000","$925,000","$867,500","$775,000","$92,500","$57,500"
Sonny Milano,WSH,20,"LW, RW",Left,CBJ,Entry-Level,18,,3,RFA,2019,"$863,333","$1,263,333","$925,000","$832,500","$92,500","$400,000"
Kevin Fiala,LAK,19,"RW, LW",Left,NSH,Entry-Level,18,,3,RFA,2019,"$863,333","$1,363,333","$925,000","$832,500","$92,500","$500,000"
Nikolay Goldobin,-,20,LW,Left,SJS,Entry-Level,18,,3,RFA,2019,"$863,333","$1,075,833","$925,000","$832,500","$92,500","$212,500"
Michael Dal Colle,-,20,LW,Left,NYI,Entry-Level,18,,3,RFA,2019,"$863,333","$3,063,333","$925,000","$832,500","$92,500","$2,200,000"
Max Domi,TOR,21,"C, RW",Left,ARI,Entry-Level,18,,3,RFA,2018,"$863,333","$1,363,333","$832,500","$832,500",$0,"$500,000"
Brendan Perlini,-,20,"RW, LW",Left,ARI,Entry-Level,18,,3,RFA,2019,"$863,333","$1,363,333","$925,000","$832,500","$92,500","$500,000"
Emile Poirier,-,21,LW,Left,CGY,Entry-Level,18,,3,UFANo QO,2018,"$863,333","$863,333","$832,500","$832,500",$0,$0
Morgan Klimchuk,-,21,LW,Left,CGY,Entry-Level,18,,3,RFA,2018,"$863,333","$863,333","$832,500","$832,500",$0,$0
Haydn Fleury,TBL,19,LD/RD,Left,CAR,Entry-Level,18,,3,RFA,2019,"$863,333","$1,713,333","$925,000","$832,500","$92,500","$850,000"
Kerby Rychel,-,21,LW,Left,CBJ,Entry-Level,18,,3,RFA,2018,"$863,333","$1,213,333","$832,500","$832,500",$0,"$350,000"
Darnell Nurse,EDM,21,LD,Left,EDM,Entry-Level,18,,3,RFA,2018,"$863,333","$1,713,333","$832,500","$832,500",$0,"$850,000"
Julius Honka,-,20,RD,Right,DAL,Entry-Level,18,,3,RFA,2019,"$863,333","$1,363,333","$925,000","$832,500","$92,500","$500,000"
Shea Theodore,VGK,20,LD/RD,Left,ANA,Entry-Level,18,,3,RFA,2018,"$863,333","$863,333","$832,500","$832,500",$0,$0
Joshua Morrissey,WPG,21,LD,Left,WPG,Entry-Level,18,,3,RFA,2018,"$863,333","$1,363,333","$832,500","$832,500",$0,"$500,000"
Hunter Shinkaruk,-,21,C,Left,VAN,Entry-Level,18,,3,RFA,2018,"$863,333","$1,075,833","$832,500","$832,500",$0,"$212,500"
Frédérik Gauthier,-,21,C,Left,TOR,Entry-Level,18,,3,RFA,2018,"$863,333","$863,333","$832,500","$832,500",$0,$0
Anthony Mantha,VGK,21,"LW, RW",Left,DET,Entry-Level,18,,3,RFA,2018,"$863,333","$863,333","$832,500","$832,500",$0,$0
