PLAYER,TEAM,AGE,POS,HANDED,SIGNING TEAM,TYPE,SIGNING AGE,CLAUSE,LENGTH,EXPIRY,EXP. YEAR,CAP HIT,AAV,SALARY,BASE SALARY,S.BONUS,P.BONUS,season,Y_Salary_Cap_Percentage
Guillaume Latendresse,-,21,LW,Left,MTL,Entry-Level,19,,3,RFA,2009,"$850,000","$850,000","$850,000","$765,000","$85,000",$0,2009,0.020833333333333332
Petteri Nokelainen,-,22,RW,Right,BOS,Standard (1-way),22,,2,RFA,2010,"$850,000","$850,000","$800,000","$800,000",$0,$0,2009,0.020833333333333332
Ian White,-,24,D,Right,TOR,Standard (1-way),22,,3,UFA,2010,"$850,000","$850,000","$850,000","$850,000",$0,$0,2009,0.020833333333333332
Peter Mueller,-,20,C,Right,ARI,Entry-Level,19,,3,RFA,2010,"$850,000","$1,700,000","$850,000","$850,000",$0,"$850,000",2009,0.020833333333333332
Mikhail Grabovski,-,24,"C, RW",Left,TOR,Standard (1-way),24,,1,RFA,2009,"$850,000","$850,000","$850,000","$850,000",$0,$0,2009,0.020833333333333332
Nikolai Kulemin,-,21,"LW, RW",Left,TOR,Entry-Level,21,,3,RFA,2010,"$850,000","$1,487,500","$850,000","$850,000",$0,"$850,000",2009,0.020833333333333332
Tuukka Rask,-,21,G,Left,BOS,Entry-Level,24,,3,RFA,2010,"$850,000","$3,200,000","$850,000","$850,000",$0,"$2,350,000",2009,0.020833333333333332
Nathan Gerbe,-,20,"LW, RW",Left,BUF,Entry-Level,21,,3,RFA,2011,"$850,000","$850,000","$850,000","$765,000","$85,000",$0,2009,0.020833333333333332
Jordan Staal,CAR,19,"C, LW",Left,PIT,Entry-Level,17,,3,RFA,2009,"$850,000","$2,200,000","$850,000","$765,000","$85,000","$1,350,000",2009,0.020833333333333332
Carey Price,MTL,20,G,Left,MTL,Entry-Level,20,,3,RFA,2010,"$850,000","$2,200,000","$850,000","$850,000",$0,"$1,350,000",2009,0.020833333333333332
Erik Johnson,PHI,20,RD,Right,STL,Entry-Level,19,,3,RFA,2010,"$850,000","$3,700,000","$850,000","$850,000",$0,"$2,850,000",2009,0.020833333333333332
Martin Hanzal,-,21,C,Left,ARI,Entry-Level,20,,3,RFA,2010,"$850,000","$980,000","$850,000","$850,000",$0,"$130,000",2009,0.020833333333333332
T.J. Oshie,WSH,21,RW,Right,STL,Entry-Level,21,,3,RFA,2011,"$850,000","$1,275,000","$850,000","$765,000","$85,000","$450,000",2009,0.020833333333333332
Jack Johnson,COL,21,LD,Left,LAK,Entry-Level,20,,3,RFA,2009,"$850,000","$2,150,000","$850,000","$765,000","$85,000","$1,950,000",2009,0.020833333333333332
Jack Skille,-,21,RW,Right,CHI,Entry-Level,20,,3,RFA,2010,"$850,000","$1,275,000","$850,000","$850,000",$0,"$425,000",2009,0.020833333333333332
Nicklas Bäckström,WSH,20,C,Left,WSH,Entry-Level,20,,3,RFA,2010,"$850,000","$2,400,000","$850,000","$850,000",$0,"$1,650,000",2009,0.020833333333333332
