PLAYER,TEAM,AGE,POS,HANDED,SIGNING TEAM,TYPE,SIGNING AGE,CLAUSE,LENGTH,EXPIRY,EXP. YEAR,CAP HIT,AAV,SALARY,BASE SALARY,S.BONUS,P.BONUS,season,Y_Salary_Cap_Percentage,Y_Salary_Cap
Scott Hartnell,-,27,LW,Left,PHI,Standard (1-way),25,NTC,6,UFA,2013,"$4,200,000","$4,200,000","$4,200,000","$4,200,000",$0,$0,2009-10,0.07394366197183098,56800000
Mark Streit,-,31,RD,Left,NYI,Standard (1-way),30,,5,UFA,2013,"$4,100,000","$4,100,000","$4,100,000","$4,100,000",$0,$0,2009-10,0.0721830985915493,56800000
Ales Hemsky,-,25,RW,Right,EDM,Standard (1-way),22,,6,UFA,2012,"$4,100,000","$4,100,000","$4,400,000","$4,400,000",$0,$0,2009-10,0.0721830985915493,56800000
Brenden Morrow,-,30,LW,Left,DAL,Standard (1-way),27,NTC,6,UFA,2013,"$4,100,000","$4,100,000","$4,100,000","$4,100,000",$0,$0,2009-10,0.0721830985915493,56800000
Pierre-Marc Bouchard,-,25,RW,Left,MIN,Standard (1-way),24,,5,UFA,2013,"$4,080,000","$4,080,000","$4,250,000","$4,250,000",$0,$0,2009-10,0.07183098591549296,56800000
Nikolai Antropov,-,29,RW,Left,ATL,Standard (1-way),29,,4,UFA,2013,"$4,062,500","$4,062,500","$3,500,000","$3,500,000",$0,$0,2009-10,0.07152288732394366,56800000
Robyn Regehr,-,29,D,Left,CGY,Standard (1-way),27,NMC,5,UFA,2013,"$4,020,000","$4,020,000","$3,500,000","$3,500,000",$0,$0,2009-10,0.07077464788732395,56800000
Jean-Pierre Dumont,-,31,RW,Left,NSH,Standard (1-way),30,,4,UFA,2012,"$4,000,000","$4,000,000","$4,000,000","$4,000,000",$0,$0,2009-10,0.07042253521126761,56800000
Rob Blake,-,39,RD,Right,SJS,35+ (1-way),39,,1,UFA,2010,"$4,000,000","$4,000,000","$4,000,000","$3,500,000","$500,000",$0,2009-10,0.07042253521126761,56800000
Vesa Toskala,-,32,G,Left,TOR,Standard (1-way),30,,2,UFA,2010,"$4,000,000","$4,000,000","$4,000,000","$4,000,000",$0,$0,2009-10,0.07042253521126761,56800000
Jason Blake,-,35,LW,Left,TOR,Standard (1-way),33,,5,UFA,2012,"$4,000,000","$4,000,000","$4,500,000","$4,500,000",$0,$0,2009-10,0.07042253521126761,56800000
Ryan Whitney,-,26,D,Left,PIT,Standard (1-way),24,,6,UFA,2013,"$4,000,000","$4,000,000","$3,500,000","$3,500,000",$0,$0,2009-10,0.07042253521126761,56800000
Michal Handzus,-,32,C,Left,LAK,Standard (1-way),30,NMC,4,UFA,2011,"$4,000,000","$4,000,000","$4,000,000","$4,000,000",$0,$0,2009-10,0.07042253521126761,56800000
Joni Pitkanen,-,25,LD,Left,CAR,Standard (1-way),24,,3,UFA,2011,"$4,000,000","$4,000,000","$4,000,000","$4,000,000",$0,$0,2009-10,0.07042253521126761,56800000
Michael Ryder,-,29,RW,Right,BOS,Standard (1-way),28,,3,UFA,2011,"$4,000,000","$4,000,000","$4,000,000","$4,000,000",$0,$0,2009-10,0.07042253521126761,56800000
Andrej Meszaros,-,23,RD,Left,TBL,Standard (1-way),22,,6,UFA,2014,"$4,000,000","$4,000,000","$3,250,000","$3,250,000",$0,$0,2009-10,0.07042253521126761,56800000
Jordan Staal,CAR,20,"C, LW",Left,PIT,Standard (1-way),20,,4,UFA,2013,"$4,000,000","$4,000,000","$3,500,000","$3,500,000",$0,$0,2009-10,0.07042253521126761,56800000
Tom Gilbert,-,26,RD,Right,EDM,Standard (1-way),25,,6,UFA,2014,"$4,000,000","$4,000,000","$3,500,000","$3,500,000",$0,$0,2009-10,0.07042253521126761,56800000
Brad Boyes,-,27,"RW, C",Right,STL,Standard (1-way),25,,4,UFA,2012,"$4,000,000","$4,000,000","$5,000,000","$5,000,000",$0,$0,2009-10,0.07042253521126761,56800000
Derek Roy,-,26,C,Left,BUF,Standard (1-way),24,,6,UFA,2013,"$4,000,000","$4,000,000","$3,500,000","$3,500,000",$0,$0,2009-10,0.07042253521126761,56800000
Nathan Horton,-,24,RW,Right,FLA,Standard (1-way),22,,6,UFA,2013,"$4,000,000","$4,000,000","$3,500,000","$3,500,000",$0,$0,2009-10,0.07042253521126761,56800000
Johan Franzen,-,29,"RW, LW",Left,DET,Standard (1-way),29,,11,UFA,2020,"$3,954,545","$3,954,545","$5,500,000","$5,500,000",$0,$0,2009-10,0.06962227112676056,56800000
Dennis Wideman,-,26,RD,Right,BOS,Standard (1-way),25,,4,UFA,2012,"$3,937,500","$3,937,500","$4,000,000","$4,000,000",$0,$0,2009-10,0.06932218309859155,56800000
Patrick Sharp,-,27,"LW, C",Right,CHI,Standard (1-way),26,,4,UFA,2012,"$3,900,000","$3,900,000","$4,000,000","$4,000,000",$0,$0,2009-10,0.06866197183098592,56800000
